time,growth,spot,plate,colony,lineage,experiment,time.point,treatment,iteration,colony.label
1.016666667,0,A.NA.minus_7,A.NA.minus,7,A,NA,post,minus,1,A.NA.post.minus_7_1
1.016666667,0,A.NA.minus_12,A.NA.minus,12,A,NA,post,minus,1,A.NA.post.minus_12_1
1.016666667,0,A.NA.minus_13,A.NA.minus,13,A,NA,post,minus,1,A.NA.post.minus_13_1
1.016666667,0,A.NA.minus_16,A.NA.minus,16,A,NA,post,minus,1,A.NA.post.minus_16_1
1.016666667,0,A.NA.minus_17,A.NA.minus,17,A,NA,post,minus,1,A.NA.post.minus_17_1
1.016666667,0,A.NA.minus_21,A.NA.minus,21,A,NA,post,minus,1,A.NA.post.minus_21_1
1.016666667,0,A.NA.minus_23,A.NA.minus,23,A,NA,post,minus,1,A.NA.post.minus_23_1
1.016666667,0,A.NA.minus_24,A.NA.minus,24,A,NA,post,minus,1,A.NA.post.minus_24_1
1.016666667,0,A.NA.minus_25,A.NA.minus,25,A,NA,post,minus,1,A.NA.post.minus_25_1
1.016666667,0,A.NA.minus_26,A.NA.minus,26,A,NA,post,minus,1,A.NA.post.minus_26_1
1.016666667,0,A.NA.minus_29,A.NA.minus,29,A,NA,post,minus,1,A.NA.post.minus_29_1
1.016666667,0,A.NA.minus_30,A.NA.minus,30,A,NA,post,minus,1,A.NA.post.minus_30_1
1.016666667,0,A.NA.minus_31,A.NA.minus,31,A,NA,post,minus,1,A.NA.post.minus_31_1
1.016666667,0,A.NA.minus_32,A.NA.minus,32,A,NA,post,minus,1,A.NA.post.minus_32_1
1.016666667,0,A.NA.minus_34,A.NA.minus,34,A,NA,post,minus,1,A.NA.post.minus_34_1
1.016666667,0,A.NA.minus_36,A.NA.minus,36,A,NA,post,minus,1,A.NA.post.minus_36_1
1.016666667,0,A.NA.minus_39,A.NA.minus,39,A,NA,post,minus,1,A.NA.post.minus_39_1
1.016666667,0,A.NA.minus_40,A.NA.minus,40,A,NA,post,minus,1,A.NA.post.minus_40_1
1.016666667,0,A.NA.minus_43,A.NA.minus,43,A,NA,post,minus,1,A.NA.post.minus_43_1
1.016666667,0,A.NA.minus_44,A.NA.minus,44,A,NA,post,minus,1,A.NA.post.minus_44_1
1.016666667,0,A.NA.minus_45,A.NA.minus,45,A,NA,post,minus,1,A.NA.post.minus_45_1
1.016666667,0,A.NA.minus_46,A.NA.minus,46,A,NA,post,minus,1,A.NA.post.minus_46_1
1.016666667,0,A.NA.minus_47,A.NA.minus,47,A,NA,post,minus,1,A.NA.post.minus_47_1
1.016666667,0,A.NA.minus_48,A.NA.minus,48,A,NA,post,minus,1,A.NA.post.minus_48_1
1.016666667,0,A.NA.minus_49,A.NA.minus,49,A,NA,post,minus,1,A.NA.post.minus_49_1
1.016666667,0,A.NA.minus_50,A.NA.minus,50,A,NA,post,minus,1,A.NA.post.minus_50_1
1.016666667,0,A.NA.minus_51,A.NA.minus,51,A,NA,post,minus,1,A.NA.post.minus_51_1
1.016666667,0,A.NA.minus_53,A.NA.minus,53,A,NA,post,minus,1,A.NA.post.minus_53_1
1.016666667,0,A.NA.minus_54,A.NA.minus,54,A,NA,post,minus,1,A.NA.post.minus_54_1
1.016666667,0,A.NA.minus_59,A.NA.minus,59,A,NA,post,minus,1,A.NA.post.minus_59_1
1.016666667,0,A.NA.minus_60,A.NA.minus,60,A,NA,post,minus,1,A.NA.post.minus_60_1
1.016666667,0,A.NA.minus_62,A.NA.minus,62,A,NA,post,minus,1,A.NA.post.minus_62_1
1.016666667,0,A.NA.minus_63,A.NA.minus,63,A,NA,post,minus,1,A.NA.post.minus_63_1
1.016666667,0,A.NA.minus_64,A.NA.minus,64,A,NA,post,minus,1,A.NA.post.minus_64_1
1.016666667,0,A.NA.minus_66,A.NA.minus,66,A,NA,post,minus,1,A.NA.post.minus_66_1
1.016666667,0,A.NA.minus_70,A.NA.minus,70,A,NA,post,minus,1,A.NA.post.minus_70_1
1.016666667,0,A.NA.minus_71,A.NA.minus,71,A,NA,post,minus,1,A.NA.post.minus_71_1
1.016666667,0,A.NA.minus_73,A.NA.minus,73,A,NA,post,minus,1,A.NA.post.minus_73_1
1.016666667,0,A.NA.minus_74,A.NA.minus,74,A,NA,post,minus,1,A.NA.post.minus_74_1
1.016666667,0,A.NA.minus_75,A.NA.minus,75,A,NA,post,minus,1,A.NA.post.minus_75_1
1.016666667,0,A.NA.minus_78,A.NA.minus,78,A,NA,post,minus,1,A.NA.post.minus_78_1
1.016666667,0,A.NA.minus_79,A.NA.minus,79,A,NA,post,minus,1,A.NA.post.minus_79_1
1.016666667,0,A.NA.minus_81,A.NA.minus,81,A,NA,post,minus,1,A.NA.post.minus_81_1
1.016666667,0,A.NA.minus_82,A.NA.minus,82,A,NA,post,minus,1,A.NA.post.minus_82_1
1.016666667,0,A.NA.minus_83,A.NA.minus,83,A,NA,post,minus,1,A.NA.post.minus_83_1
1.016666667,0,A.NA.minus_85,A.NA.minus,85,A,NA,post,minus,1,A.NA.post.minus_85_1
1.016666667,0,A.NA.minus_86,A.NA.minus,86,A,NA,post,minus,1,A.NA.post.minus_86_1
1.016666667,0,A.NA.minus_87,A.NA.minus,87,A,NA,post,minus,1,A.NA.post.minus_87_1
1.016666667,0,A.NA.minus_88,A.NA.minus,88,A,NA,post,minus,1,A.NA.post.minus_88_1
1.016666667,0,A.NA.minus_90,A.NA.minus,90,A,NA,post,minus,1,A.NA.post.minus_90_1
1.016666667,0,A.NA.minus_91,A.NA.minus,91,A,NA,post,minus,1,A.NA.post.minus_91_1
1.016666667,0,A.NA.minus_92,A.NA.minus,92,A,NA,post,minus,1,A.NA.post.minus_92_1
1.016666667,0,A.NA.minus_94,A.NA.minus,94,A,NA,post,minus,1,A.NA.post.minus_94_1
1.016666667,0,A.NA.minus_96,A.NA.minus,96,A,NA,post,minus,1,A.NA.post.minus_96_1
1.016666667,0,A.NA.minus_102,A.NA.minus,102,A,NA,post,minus,1,A.NA.post.minus_102_1
1.016666667,0,A.NA.minus_103,A.NA.minus,103,A,NA,post,minus,1,A.NA.post.minus_103_1
1.016666667,0,A.NA.minus_105,A.NA.minus,105,A,NA,post,minus,1,A.NA.post.minus_105_1
1.016666667,0,A.NA.minus_108,A.NA.minus,108,A,NA,post,minus,1,A.NA.post.minus_108_1
1.016666667,0,A.NA.minus_109,A.NA.minus,109,A,NA,post,minus,1,A.NA.post.minus_109_1
1.016666667,0,A.NA.minus_110,A.NA.minus,110,A,NA,post,minus,1,A.NA.post.minus_110_1
1.016666667,0,A.NA.minus_111,A.NA.minus,111,A,NA,post,minus,1,A.NA.post.minus_111_1
1.016666667,0,A.NA.minus_112,A.NA.minus,112,A,NA,post,minus,1,A.NA.post.minus_112_1
2.033333333,0,A.NA.minus_6,A.NA.minus,6,A,NA,post,minus,1,A.NA.post.minus_6_1
2.033333333,0,A.NA.minus_7,A.NA.minus,7,A,NA,post,minus,1,A.NA.post.minus_7_1
2.033333333,0,A.NA.minus_12,A.NA.minus,12,A,NA,post,minus,1,A.NA.post.minus_12_1
2.033333333,0,A.NA.minus_13,A.NA.minus,13,A,NA,post,minus,1,A.NA.post.minus_13_1
2.033333333,0,A.NA.minus_16,A.NA.minus,16,A,NA,post,minus,1,A.NA.post.minus_16_1
2.033333333,0,A.NA.minus_17,A.NA.minus,17,A,NA,post,minus,1,A.NA.post.minus_17_1
2.033333333,0,A.NA.minus_21,A.NA.minus,21,A,NA,post,minus,1,A.NA.post.minus_21_1
2.033333333,0,A.NA.minus_23,A.NA.minus,23,A,NA,post,minus,1,A.NA.post.minus_23_1
2.033333333,0,A.NA.minus_24,A.NA.minus,24,A,NA,post,minus,1,A.NA.post.minus_24_1
2.033333333,0,A.NA.minus_25,A.NA.minus,25,A,NA,post,minus,1,A.NA.post.minus_25_1
2.033333333,0,A.NA.minus_26,A.NA.minus,26,A,NA,post,minus,1,A.NA.post.minus_26_1
2.033333333,0,A.NA.minus_29,A.NA.minus,29,A,NA,post,minus,1,A.NA.post.minus_29_1
2.033333333,0,A.NA.minus_30,A.NA.minus,30,A,NA,post,minus,1,A.NA.post.minus_30_1
2.033333333,0,A.NA.minus_31,A.NA.minus,31,A,NA,post,minus,1,A.NA.post.minus_31_1
2.033333333,0,A.NA.minus_32,A.NA.minus,32,A,NA,post,minus,1,A.NA.post.minus_32_1
2.033333333,0,A.NA.minus_34,A.NA.minus,34,A,NA,post,minus,1,A.NA.post.minus_34_1
2.033333333,0,A.NA.minus_36,A.NA.minus,36,A,NA,post,minus,1,A.NA.post.minus_36_1
2.033333333,0,A.NA.minus_39,A.NA.minus,39,A,NA,post,minus,1,A.NA.post.minus_39_1
2.033333333,0,A.NA.minus_40,A.NA.minus,40,A,NA,post,minus,1,A.NA.post.minus_40_1
2.033333333,0,A.NA.minus_43,A.NA.minus,43,A,NA,post,minus,1,A.NA.post.minus_43_1
2.033333333,0,A.NA.minus_44,A.NA.minus,44,A,NA,post,minus,1,A.NA.post.minus_44_1
2.033333333,0,A.NA.minus_45,A.NA.minus,45,A,NA,post,minus,1,A.NA.post.minus_45_1
2.033333333,0,A.NA.minus_46,A.NA.minus,46,A,NA,post,minus,1,A.NA.post.minus_46_1
2.033333333,0,A.NA.minus_47,A.NA.minus,47,A,NA,post,minus,1,A.NA.post.minus_47_1
2.033333333,0,A.NA.minus_48,A.NA.minus,48,A,NA,post,minus,1,A.NA.post.minus_48_1
2.033333333,0,A.NA.minus_49,A.NA.minus,49,A,NA,post,minus,1,A.NA.post.minus_49_1
2.033333333,0,A.NA.minus_50,A.NA.minus,50,A,NA,post,minus,1,A.NA.post.minus_50_1
2.033333333,0,A.NA.minus_51,A.NA.minus,51,A,NA,post,minus,1,A.NA.post.minus_51_1
2.033333333,0,A.NA.minus_53,A.NA.minus,53,A,NA,post,minus,1,A.NA.post.minus_53_1
2.033333333,0,A.NA.minus_54,A.NA.minus,54,A,NA,post,minus,1,A.NA.post.minus_54_1
2.033333333,0,A.NA.minus_59,A.NA.minus,59,A,NA,post,minus,1,A.NA.post.minus_59_1
2.033333333,0,A.NA.minus_60,A.NA.minus,60,A,NA,post,minus,1,A.NA.post.minus_60_1
2.033333333,0,A.NA.minus_62,A.NA.minus,62,A,NA,post,minus,1,A.NA.post.minus_62_1
2.033333333,0,A.NA.minus_63,A.NA.minus,63,A,NA,post,minus,1,A.NA.post.minus_63_1
2.033333333,0,A.NA.minus_64,A.NA.minus,64,A,NA,post,minus,1,A.NA.post.minus_64_1
2.033333333,0,A.NA.minus_66,A.NA.minus,66,A,NA,post,minus,1,A.NA.post.minus_66_1
2.033333333,0,A.NA.minus_70,A.NA.minus,70,A,NA,post,minus,1,A.NA.post.minus_70_1
2.033333333,0,A.NA.minus_71,A.NA.minus,71,A,NA,post,minus,1,A.NA.post.minus_71_1
2.033333333,0,A.NA.minus_73,A.NA.minus,73,A,NA,post,minus,1,A.NA.post.minus_73_1
2.033333333,0,A.NA.minus_74,A.NA.minus,74,A,NA,post,minus,1,A.NA.post.minus_74_1
2.033333333,0,A.NA.minus_75,A.NA.minus,75,A,NA,post,minus,1,A.NA.post.minus_75_1
2.033333333,0,A.NA.minus_78,A.NA.minus,78,A,NA,post,minus,1,A.NA.post.minus_78_1
2.033333333,0,A.NA.minus_79,A.NA.minus,79,A,NA,post,minus,1,A.NA.post.minus_79_1
2.033333333,0,A.NA.minus_81,A.NA.minus,81,A,NA,post,minus,1,A.NA.post.minus_81_1
2.033333333,0,A.NA.minus_82,A.NA.minus,82,A,NA,post,minus,1,A.NA.post.minus_82_1
2.033333333,0,A.NA.minus_83,A.NA.minus,83,A,NA,post,minus,1,A.NA.post.minus_83_1
2.033333333,0,A.NA.minus_85,A.NA.minus,85,A,NA,post,minus,1,A.NA.post.minus_85_1
2.033333333,0,A.NA.minus_86,A.NA.minus,86,A,NA,post,minus,1,A.NA.post.minus_86_1
2.033333333,0,A.NA.minus_87,A.NA.minus,87,A,NA,post,minus,1,A.NA.post.minus_87_1
2.033333333,0,A.NA.minus_88,A.NA.minus,88,A,NA,post,minus,1,A.NA.post.minus_88_1
2.033333333,0,A.NA.minus_90,A.NA.minus,90,A,NA,post,minus,1,A.NA.post.minus_90_1
2.033333333,0,A.NA.minus_91,A.NA.minus,91,A,NA,post,minus,1,A.NA.post.minus_91_1
2.033333333,0,A.NA.minus_92,A.NA.minus,92,A,NA,post,minus,1,A.NA.post.minus_92_1
2.033333333,0,A.NA.minus_94,A.NA.minus,94,A,NA,post,minus,1,A.NA.post.minus_94_1
2.033333333,0,A.NA.minus_96,A.NA.minus,96,A,NA,post,minus,1,A.NA.post.minus_96_1
2.033333333,0,A.NA.minus_102,A.NA.minus,102,A,NA,post,minus,1,A.NA.post.minus_102_1
2.033333333,0,A.NA.minus_103,A.NA.minus,103,A,NA,post,minus,1,A.NA.post.minus_103_1
2.033333333,0,A.NA.minus_105,A.NA.minus,105,A,NA,post,minus,1,A.NA.post.minus_105_1
2.033333333,0,A.NA.minus_108,A.NA.minus,108,A,NA,post,minus,1,A.NA.post.minus_108_1
2.033333333,0,A.NA.minus_109,A.NA.minus,109,A,NA,post,minus,1,A.NA.post.minus_109_1
2.033333333,0,A.NA.minus_110,A.NA.minus,110,A,NA,post,minus,1,A.NA.post.minus_110_1
2.033333333,0,A.NA.minus_111,A.NA.minus,111,A,NA,post,minus,1,A.NA.post.minus_111_1
2.033333333,0,A.NA.minus_112,A.NA.minus,112,A,NA,post,minus,1,A.NA.post.minus_112_1
3.066666667,0,A.NA.minus_6,A.NA.minus,6,A,NA,post,minus,1,A.NA.post.minus_6_1
3.066666667,0,A.NA.minus_7,A.NA.minus,7,A,NA,post,minus,1,A.NA.post.minus_7_1
3.066666667,0,A.NA.minus_12,A.NA.minus,12,A,NA,post,minus,1,A.NA.post.minus_12_1
3.066666667,0,A.NA.minus_13,A.NA.minus,13,A,NA,post,minus,1,A.NA.post.minus_13_1
3.066666667,0,A.NA.minus_16,A.NA.minus,16,A,NA,post,minus,1,A.NA.post.minus_16_1
3.066666667,0,A.NA.minus_17,A.NA.minus,17,A,NA,post,minus,1,A.NA.post.minus_17_1
3.066666667,0,A.NA.minus_21,A.NA.minus,21,A,NA,post,minus,1,A.NA.post.minus_21_1
3.066666667,0,A.NA.minus_23,A.NA.minus,23,A,NA,post,minus,1,A.NA.post.minus_23_1
3.066666667,0,A.NA.minus_24,A.NA.minus,24,A,NA,post,minus,1,A.NA.post.minus_24_1
3.066666667,0,A.NA.minus_25,A.NA.minus,25,A,NA,post,minus,1,A.NA.post.minus_25_1
3.066666667,0,A.NA.minus_26,A.NA.minus,26,A,NA,post,minus,1,A.NA.post.minus_26_1
3.066666667,0,A.NA.minus_29,A.NA.minus,29,A,NA,post,minus,1,A.NA.post.minus_29_1
3.066666667,0,A.NA.minus_30,A.NA.minus,30,A,NA,post,minus,1,A.NA.post.minus_30_1
3.066666667,0,A.NA.minus_31,A.NA.minus,31,A,NA,post,minus,1,A.NA.post.minus_31_1
3.066666667,0,A.NA.minus_32,A.NA.minus,32,A,NA,post,minus,1,A.NA.post.minus_32_1
3.066666667,0,A.NA.minus_34,A.NA.minus,34,A,NA,post,minus,1,A.NA.post.minus_34_1
3.066666667,0,A.NA.minus_36,A.NA.minus,36,A,NA,post,minus,1,A.NA.post.minus_36_1
3.066666667,0,A.NA.minus_39,A.NA.minus,39,A,NA,post,minus,1,A.NA.post.minus_39_1
3.066666667,0,A.NA.minus_40,A.NA.minus,40,A,NA,post,minus,1,A.NA.post.minus_40_1
3.066666667,0,A.NA.minus_43,A.NA.minus,43,A,NA,post,minus,1,A.NA.post.minus_43_1
3.066666667,0,A.NA.minus_44,A.NA.minus,44,A,NA,post,minus,1,A.NA.post.minus_44_1
3.066666667,0,A.NA.minus_45,A.NA.minus,45,A,NA,post,minus,1,A.NA.post.minus_45_1
3.066666667,0,A.NA.minus_46,A.NA.minus,46,A,NA,post,minus,1,A.NA.post.minus_46_1
3.066666667,0,A.NA.minus_47,A.NA.minus,47,A,NA,post,minus,1,A.NA.post.minus_47_1
3.066666667,0,A.NA.minus_48,A.NA.minus,48,A,NA,post,minus,1,A.NA.post.minus_48_1
3.066666667,0,A.NA.minus_49,A.NA.minus,49,A,NA,post,minus,1,A.NA.post.minus_49_1
3.066666667,0,A.NA.minus_50,A.NA.minus,50,A,NA,post,minus,1,A.NA.post.minus_50_1
3.066666667,0,A.NA.minus_51,A.NA.minus,51,A,NA,post,minus,1,A.NA.post.minus_51_1
3.066666667,0,A.NA.minus_53,A.NA.minus,53,A,NA,post,minus,1,A.NA.post.minus_53_1
3.066666667,0,A.NA.minus_54,A.NA.minus,54,A,NA,post,minus,1,A.NA.post.minus_54_1
3.066666667,0,A.NA.minus_59,A.NA.minus,59,A,NA,post,minus,1,A.NA.post.minus_59_1
3.066666667,0,A.NA.minus_60,A.NA.minus,60,A,NA,post,minus,1,A.NA.post.minus_60_1
3.066666667,0,A.NA.minus_62,A.NA.minus,62,A,NA,post,minus,1,A.NA.post.minus_62_1
3.066666667,0,A.NA.minus_63,A.NA.minus,63,A,NA,post,minus,1,A.NA.post.minus_63_1
3.066666667,0,A.NA.minus_64,A.NA.minus,64,A,NA,post,minus,1,A.NA.post.minus_64_1
3.066666667,0,A.NA.minus_66,A.NA.minus,66,A,NA,post,minus,1,A.NA.post.minus_66_1
3.066666667,0,A.NA.minus_70,A.NA.minus,70,A,NA,post,minus,1,A.NA.post.minus_70_1
3.066666667,0,A.NA.minus_71,A.NA.minus,71,A,NA,post,minus,1,A.NA.post.minus_71_1
3.066666667,0,A.NA.minus_73,A.NA.minus,73,A,NA,post,minus,1,A.NA.post.minus_73_1
3.066666667,0,A.NA.minus_74,A.NA.minus,74,A,NA,post,minus,1,A.NA.post.minus_74_1
3.066666667,0,A.NA.minus_75,A.NA.minus,75,A,NA,post,minus,1,A.NA.post.minus_75_1
3.066666667,0,A.NA.minus_78,A.NA.minus,78,A,NA,post,minus,1,A.NA.post.minus_78_1
3.066666667,0,A.NA.minus_79,A.NA.minus,79,A,NA,post,minus,1,A.NA.post.minus_79_1
3.066666667,0,A.NA.minus_81,A.NA.minus,81,A,NA,post,minus,1,A.NA.post.minus_81_1
3.066666667,0,A.NA.minus_82,A.NA.minus,82,A,NA,post,minus,1,A.NA.post.minus_82_1
3.066666667,0,A.NA.minus_83,A.NA.minus,83,A,NA,post,minus,1,A.NA.post.minus_83_1
3.066666667,0,A.NA.minus_85,A.NA.minus,85,A,NA,post,minus,1,A.NA.post.minus_85_1
3.066666667,0,A.NA.minus_86,A.NA.minus,86,A,NA,post,minus,1,A.NA.post.minus_86_1
3.066666667,0,A.NA.minus_87,A.NA.minus,87,A,NA,post,minus,1,A.NA.post.minus_87_1
3.066666667,0,A.NA.minus_88,A.NA.minus,88,A,NA,post,minus,1,A.NA.post.minus_88_1
3.066666667,0,A.NA.minus_90,A.NA.minus,90,A,NA,post,minus,1,A.NA.post.minus_90_1
3.066666667,0,A.NA.minus_91,A.NA.minus,91,A,NA,post,minus,1,A.NA.post.minus_91_1
3.066666667,0,A.NA.minus_92,A.NA.minus,92,A,NA,post,minus,1,A.NA.post.minus_92_1
3.066666667,0,A.NA.minus_94,A.NA.minus,94,A,NA,post,minus,1,A.NA.post.minus_94_1
3.066666667,0,A.NA.minus_96,A.NA.minus,96,A,NA,post,minus,1,A.NA.post.minus_96_1
3.066666667,0,A.NA.minus_102,A.NA.minus,102,A,NA,post,minus,1,A.NA.post.minus_102_1
3.066666667,0,A.NA.minus_103,A.NA.minus,103,A,NA,post,minus,1,A.NA.post.minus_103_1
3.066666667,0,A.NA.minus_105,A.NA.minus,105,A,NA,post,minus,1,A.NA.post.minus_105_1
3.066666667,0,A.NA.minus_108,A.NA.minus,108,A,NA,post,minus,1,A.NA.post.minus_108_1
3.066666667,0,A.NA.minus_109,A.NA.minus,109,A,NA,post,minus,1,A.NA.post.minus_109_1
3.066666667,0,A.NA.minus_110,A.NA.minus,110,A,NA,post,minus,1,A.NA.post.minus_110_1
3.066666667,0,A.NA.minus_111,A.NA.minus,111,A,NA,post,minus,1,A.NA.post.minus_111_1
3.066666667,0,A.NA.minus_112,A.NA.minus,112,A,NA,post,minus,1,A.NA.post.minus_112_1
4.083333333,0,A.NA.minus_6,A.NA.minus,6,A,NA,post,minus,1,A.NA.post.minus_6_1
4.083333333,0,A.NA.minus_7,A.NA.minus,7,A,NA,post,minus,1,A.NA.post.minus_7_1
4.083333333,0,A.NA.minus_12,A.NA.minus,12,A,NA,post,minus,1,A.NA.post.minus_12_1
4.083333333,0,A.NA.minus_13,A.NA.minus,13,A,NA,post,minus,1,A.NA.post.minus_13_1
4.083333333,0,A.NA.minus_16,A.NA.minus,16,A,NA,post,minus,1,A.NA.post.minus_16_1
4.083333333,0,A.NA.minus_17,A.NA.minus,17,A,NA,post,minus,1,A.NA.post.minus_17_1
4.083333333,0,A.NA.minus_21,A.NA.minus,21,A,NA,post,minus,1,A.NA.post.minus_21_1
4.083333333,0,A.NA.minus_23,A.NA.minus,23,A,NA,post,minus,1,A.NA.post.minus_23_1
4.083333333,0,A.NA.minus_24,A.NA.minus,24,A,NA,post,minus,1,A.NA.post.minus_24_1
4.083333333,0,A.NA.minus_25,A.NA.minus,25,A,NA,post,minus,1,A.NA.post.minus_25_1
